"klasse","ensembl"
"Struktur_ECM","ENSG00000276850"
"Struktur_ECM","ENSG00000174992"
"Struktur_ECM","ENSG00000117983"
"Struktur_ECM","ENSG00000240247"
"Struktur_ECM","ENSG00000285176"
"Struktur_ECM","ENSG00000253117"
"Struktur_ECM","ENSG00000204913"
"Glykosylierung","ENSG00000107331"
"Glykosylierung","ENSG00000175164"
"Glykosylierung","ENSG00000281879"
"Glykosylierung","ENSG00000134825"
"Glykosylierung","ENSG00000187097"
"Glykosylierung","ENSG00000129562"
"Glykosylierung","ENSG00000244038"
"Glykosylierung","ENSG00000172269"
"Glykosylierung","ENSG00000182197"
"Glykosylierung","ENSG00000151348"
"Glykosylierung","ENSG00000158008"
"Glykosylierung","ENSG00000012232"
"Glykosylierung","ENSG00000106692"
"Glykosylierung","ENSG00000174951"
"Glykosylierung","ENSG00000176920"
"Glykosylierung","ENSG00000171124"
"Glykosylierung","ENSG00000292063"
"Glykosylierung","ENSG00000196371"
"Glykosylierung","ENSG00000130383"
"Glykosylierung","ENSG00000156413"
"Glykosylierung","ENSG00000180549"
"Glykosylierung","ENSG00000033170"
"Glykosylierung","ENSG00000141429"
"Glykosylierung","ENSG00000143641"
"Glykosylierung","ENSG00000115339"
"Glykosylierung","ENSG00000187210"
"Glykosylierung","ENSG00000111846"
"Glykosylierung","ENSG00000285222"
"Glykosylierung","ENSG00000198380"
"Glykosylierung","ENSG00000086062"
"Glykosylierung","ENSG00000167110"
"Glykosylierung","ENSG00000164136"
"Glykosylierung","ENSG00000134910"
"Glykosylierung","ENSG00000111885"
"Glykosylierung","ENSG00000196547"
"Glykosylierung","ENSG00000112893"
"Glykosylierung","ENSG00000131446"
"Glykosylierung","ENSG00000168282"
"Glykosylierung","ENSG00000128268"
"Glykosylierung","ENSG00000152127"
"Glykosylierung","ENSG00000141458"
"Glykosylierung","ENSG00000013375"
"Glykosylierung","ENSG00000100417"
"Glykosylierung","ENSG00000140650"
"Glykosylierung","ENSG00000080815"
"Glykosylierung","ENSG00000163902"
"Glykosylierung","ENSG00000118705"
"Glykosylierung","ENSG00000291973"
"Glykosylierung","ENSG00000073849"
"Glykosylierung","ENSG00000008513"
