"ensembl","satz"
"ENSG00000108384","S_ZELLZYKLUS"
"ENSG00000182185","S_ZELLZYKLUS"
"ENSG00000080823","S_ZELLZYKLUS"
"ENSG00000185379","S_ZELLZYKLUS"
"ENSG00000132341","S_ZELLZYKLUS"
"ENSG00000099901","S_ZELLZYKLUS"
"ENSG00000131759","S_ZELLZYKLUS"
"ENSG00000145715","S_ZELLZYKLUS"
"ENSG00000139687","S_ZELLZYKLUS"
"ENSG00000101773","S_ZELLZYKLUS"
"ENSG00000080839","S_ZELLZYKLUS"
"ENSG00000103479","S_ZELLZYKLUS"
"ENSG00000102076","S_ZELLZYKLUS"
"ENSG00000137710","S_ZELLZYKLUS"
"ENSG00000005007","S_ZELLZYKLUS"
"ENSG00000133884","S_ZELLZYKLUS"
"ENSG00000128250","S_ZELLZYKLUS"
"ENSG00000106615","S_ZELLZYKLUS"
"ENSG00000121481","S_ZELLZYKLUS"
"ENSG00000063978","S_ZELLZYKLUS"
"ENSG00000067900","S_ZELLZYKLUS"
"ENSG00000132383","S_ZELLZYKLUS"
"ENSG00000117748","S_ZELLZYKLUS"
"ENSG00000106399","S_ZELLZYKLUS"
"ENSG00000114391","S_ZELLZYKLUS"
"ENSG00000161970","S_ZELLZYKLUS"
"ENSG00000149273","S_ZELLZYKLUS"
"ENSG00000137154","S_ZELLZYKLUS"
"ENSG00000071242","S_ZELLZYKLUS"
"ENSG00000108443","S_ZELLZYKLUS"
"ENSG00000134419","S_ZELLZYKLUS"
"ENSG00000167325","S_ZELLZYKLUS"
"ENSG00000171848","S_ZELLZYKLUS"
"ENSG00000114993","S_ZELLZYKLUS"
"ENSG00000130779","S_ZELLZYKLUS"
"ENSG00000188130","S_ZELLZYKLUS"
"ENSG00000108691","S_ZELLZYKLUS"
"ENSG00000137575","S_ZELLZYKLUS"
"ENSG00000170364","S_ZELLZYKLUS"
"ENSG00000104332","S_ZELLZYKLUS"
"ENSG00000107338","S_ZELLZYKLUS"
"ENSG00000123473","S_ZELLZYKLUS"
"ENSG00000213445","S_ZELLZYKLUS"
"ENSG00000138083","S_ZELLZYKLUS"
"ENSG00000136603","S_ZELLZYKLUS"
"ENSG00000145604","S_ZELLZYKLUS"
"ENSG00000108576","S_ZELLZYKLUS"
"ENSG00000155380","S_ZELLZYKLUS"
"ENSG00000281917","S_ZELLZYKLUS"
"ENSG00000080503","S_ZELLZYKLUS"
"ENSG00000127616","S_ZELLZYKLUS"
"ENSG00000099956","S_ZELLZYKLUS"
"ENSG00000275837","S_ZELLZYKLUS"
"ENSG00000173473","S_ZELLZYKLUS"
"ENSG00000139613","S_ZELLZYKLUS"
"ENSG00000066117","S_ZELLZYKLUS"
"ENSG00000108604","S_ZELLZYKLUS"
"ENSG00000082014","S_ZELLZYKLUS"
"ENSG00000073584","S_ZELLZYKLUS"
"ENSG00000159140","S_ZELLZYKLUS"
"ENSG00000181449","S_ZELLZYKLUS"
"ENSG00000125398","S_ZELLZYKLUS"
"ENSG00000129194","S_ZELLZYKLUS"
"ENSG00000021574","S_ZELLZYKLUS"
"ENSG00000115306","S_ZELLZYKLUS"
"ENSG00000096063","S_ZELLZYKLUS"
"ENSG00000135250","S_ZELLZYKLUS"
"ENSG00000132109","S_ZELLZYKLUS"
"ENSG00000162009","S_ZELLZYKLUS"
"ENSG00000168610","S_ZELLZYKLUS"
"ENSG00000173757","S_ZELLZYKLUS"
"ENSG00000114904","S_ZELLZYKLUS"
"ENSG00000087586","S_ZELLZYKLUS"
"ENSG00000008086","S_ZELLZYKLUS"
"ENSG00000118046","S_ZELLZYKLUS"
"ENSG00000105146","S_ZELLZYKLUS"
"ENSG00000101945","S_ZELLZYKLUS"
"ENSG00000197321","S_ZELLZYKLUS"
"ENSG00000198765","S_ZELLZYKLUS"
"ENSG00000147526","S_ZELLZYKLUS"
"ENSG00000151694","S_ZELLZYKLUS"
"ENSG00000276234","S_ZELLZYKLUS"
"ENSG00000277104","S_ZELLZYKLUS"
"ENSG00000147133","S_ZELLZYKLUS"
"ENSG00000064313","S_ZELLZYKLUS"
"ENSG00000106290","S_ZELLZYKLUS"
"ENSG00000166337","S_ZELLZYKLUS"
"ENSG00000135341","S_ZELLZYKLUS"
"ENSG00000162367","S_ZELLZYKLUS"
