panel,symbol,ensembl,mode_of_inheritance,confidence_level
PA309,MESD,ENSG00000117899,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MESP2,ENSG00000188095,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MGP,ENSG00000111341,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,MKKS,ENSG00000125863,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MKS1,ENSG00000011143,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MMP13,ENSG00000137745,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,MMP2,ENSG00000087245,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MNX1,ENSG00000130675,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,MPDU1,ENSG00000129255,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MSX2,ENSG00000120149,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,MTX2,ENSG00000128654,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MYCN,ENSG00000134323,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,MYH3,ENSG00000109063,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,MYO18B,ENSG00000133454,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NAGLU,ENSG00000108784,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NANS,ENSG00000095380,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NBAS,ENSG00000151779,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NEK1,ENSG00000137601,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NEPRO,ENSG00000163608,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NEU1,ENSG00000204386,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NF1,ENSG00000196712,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,NFIX,ENSG00000008441,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,NIPBL,ENSG00000164190,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,NKX3-2,ENSG00000109705,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NLRP3,ENSG00000162711,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,NOG,ENSG00000183691,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
