"klasse","ensembl"
"ECM_STRUKTUR","ENSG00000143382"
"ECM_STRUKTUR","ENSG00000095209"
"ECM_STRUKTUR","ENSG00000103056"
"ECM_STRUKTUR","ENSG00000101311"
"ECM_STRUKTUR","ENSG00000085998"
"ECM_STRUKTUR","ENSG00000147408"
"ECM_STRUKTUR","ENSG00000196562"
"ECM_STRUKTUR","ENSG00000167346"
"ECM_STRUKTUR","ENSG00000163638"
"ECM_STRUKTUR","ENSG00000156218"
"ECM_STRUKTUR","ENSG00000291606"
"ECM_STRUKTUR","ENSG00000162430"
"ECM_STRUKTUR","ENSG00000163346"
"ECM_STRUKTUR","ENSG00000107036"
"ECM_STRUKTUR","ENSG00000074527"
"ECM_STRUKTUR","ENSG00000171509"
"ECM_STRUKTUR","ENSG00000132702"
"ECM_STRUKTUR","ENSG00000291756"
"ECM_STRUKTUR","ENSG00000172987"
"ECM_STRUKTUR","ENSG00000177963"
"ECM_STRUKTUR","ENSG00000141756"
"ECM_STRUKTUR","ENSG00000151445"
"ECM_STRUKTUR","ENSG00000137675"
"ECM_STRUKTUR","ENSG00000198732"
"ECM_STRUKTUR","ENSG00000112562"
"ECM_STRUKTUR","ENSG00000138821"
"ECM_STRUKTUR","ENSG00000088727"
"ECM_STRUKTUR","ENSG00000008516"
"ECM_STRUKTUR","ENSG00000181027"
"ECM_STRUKTUR","ENSG00000271447"
"ECM_STRUKTUR","ENSG00000278843"
"ECM_STRUKTUR","ENSG00000173376"
"ECM_STRUKTUR","ENSG00000130309"
"ECM_STRUKTUR","ENSG00000173157"
"ECM_STRUKTUR","ENSG00000197496"
"ECM_STRUKTUR","ENSG00000141098"
"ECM_STRUKTUR","ENSG00000107821"
"ECM_STRUKTUR","ENSG00000151388"
"ECM_STRUKTUR","ENSG00000281690"
"ECM_STRUKTUR","ENSG00000142303"
"ECM_STRUKTUR","ENSG00000103196"
"ECM_STRUKTUR","ENSG00000169604"
"ECM_STRUKTUR","ENSG00000138131"
"ECM_STRUKTUR","ENSG00000225614"
"ECM_STRUKTUR","ENSG00000115318"
"ECM_STRUKTUR","ENSG00000111863"
"ECM_STRUKTUR","ENSG00000122335"
"ECM_STRUKTUR","ENSG00000154342"
"ECM_STRUKTUR","ENSG00000100767"
"ECM_STRUKTUR","ENSG00000144824"
"ECM_STRUKTUR","ENSG00000157613"
"ECM_STRUKTUR","ENSG00000178031"
"ECM_STRUKTUR","ENSG00000154485"
"ECM_STRUKTUR","ENSG00000196408"
"ECM_STRUKTUR","ENSG00000291939"
"ECM_STRUKTUR","ENSG00000164318"
"ECM_STRUKTUR","ENSG00000138316"
"ECM_STRUKTUR","ENSG00000139174"
"ECM_STRUKTUR","ENSG00000159753"
"ECM_STRUKTUR","ENSG00000116903"
"ECM_STRUKTUR","ENSG00000091986"
"ECM_STRUKTUR","ENSG00000187045"
"ECM_STRUKTUR","ENSG00000185585"
"ECM_STRUKTUR","ENSG00000166106"
"ECM_STRUKTUR","ENSG00000145536"
"ECM_STRUKTUR","ENSG00000140470"
"ECM_STRUKTUR","ENSG00000140873"
"ECM_STRUKTUR","ENSG00000145808"
"ECM_STRUKTUR","ENSG00000160588"
"ECM_STRUKTUR","ENSG00000166415"
"ECM_STRUKTUR","ENSG00000149380"
"ECM_STRUKTUR","ENSG00000174705"
"ECM_STRUKTUR","ENSG00000185761"
"ECM_STRUKTUR","ENSG00000224470"
"ECM_STRUKTUR","ENSG00000276365"
"ECM_STRUKTUR","ENSG00000283815"
"ECM_STRUKTUR","ENSG00000284112"
"ECM_STRUKTUR","ENSG00000284204"
"ECM_STRUKTUR","ENSG00000284375"
"ECM_STRUKTUR","ENSG00000284190"
"ECM_STRUKTUR","ENSG00000207864"
"ECM_STRUKTUR","ENSG00000283797"
"ECM_STRUKTUR","ENSG00000207933"
"ECM_STRUKTUR","ENSG00000271886"
"ECM_STRUKTUR","ENSG00000207805"
"ECM_STRUKTUR","ENSG00000260428"
"ECM_STRUKTUR","ENSG00000181404"
"ECM_STRUKTUR","ENSG00000205693"
"GLYKO_LINKER","ENSG00000168036"
"GLYKO_LINKER","ENSG00000182197"
"GLYKO_LINKER","ENSG00000151348"
"GLYKO_LINKER","ENSG00000158008"
"GLYKO_LINKER","ENSG00000162694"
"GLYKO_LINKER","ENSG00000012232"
"GLYKO_LINKER","ENSG00000070614"
"GLYKO_LINKER","ENSG00000148737"
"GLYKO_LINKER","ENSG00000109814"
"GLYKO_LINKER","ENSG00000166507"
"GLYKO_LINKER","ENSG00000164100"
"GLYKO_LINKER","ENSG00000125304"
"GLYKO_LINKER","ENSG00000136720"
"GLYKO_LINKER","ENSG00000153936"
"GLYKO_LINKER","ENSG00000182601"
"GLYKO_LINKER","ENSG00000125430"
"GLYKO_LINKER","ENSG00000153976"
"GLYKO_LINKER","ENSG00000122254"
"GLYKO_LINKER","ENSG00000002587"
"GLYKO_LINKER","ENSG00000130958"
"GLYKO_LINKER","ENSG00000138604"
"GLYKO_LINKER","ENSG00000149541"
"GLYKO_LINKER","ENSG00000111817"
"GLYKO_LINKER","ENSG00000147408"
"GLYKO_LINKER","ENSG00000103489"
