"ensembl","expr","expr_rank","arm","klasse","punkt","label","n_undiff","n_diff"
"ENSG00000279254",3.28420956915027,0.169155206286837,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000164691",0.765370233796333,0.0300589390962672,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000100918",2.63419375071821,0.141257367387033,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000124003",0.587192227044872,0.0174197773411919,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279255",2.68961637023393,0.144335297969876,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000187908",1.53245575627706,0.0827111984282908,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000179363",1.57616964027603,0.0854616895874263,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000205784",1.92000438261315,0.104649639816634,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000141449",4.14131902078721,0.20543549443353,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000152253",3.20853364398776,0.166666666666667,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000073067",0.81754586899741,0.0340537000654879,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000278619",2.41699109529501,0.130648330058939,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000172602",2.63827919884239,0.141453831041257,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000058335",0.992029909816477,0.0487229862475442,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000255104",2.20116534182322,0.120563195808775,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000155957",0.983006848683143,0.0480026195153897,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000112309",2.03894508917092,0.111001964636542,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000213145",1.76188196618815,0.0965946299934512,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000105668",1.98393087608688,0.108251473477407,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000069188",1.6836464271593,0.091486574983628,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279742",1.79458829178954,0.0988867059593975,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000188523",1.86595656913931,0.102685003274394,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000162779",3.15099265104674,0.164178127046496,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000267281",3.5317796744593,0.180943025540275,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000099984",2.77769623436941,0.14800261951539,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000128973",2.74036243613084,0.146234446627374,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000086717",2.46090564225639,0.132743942370661,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000100150",1.12372745190086,0.0576293385723641,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000187808",2.19950051544572,0.120497707924034,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000130812",2.04294242455879,0.111263916175508,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000257529",2.10244616933381,0.114996725605763,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000204304",3.53817934724478,0.181139489194499,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000104055",1.58429442083601,0.0857891290111329,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000268107",2.99901312206804,0.157629338572364,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000100024",1.23115873731438,0.0645710543549443,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000278570",3.29944274904997,0.16981008513425,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000148357",1.56861722599948,0.0850032743942371,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000121743",3.9325303298136,0.197380484610347,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000182162",1.09716084497909,0.0555337262606418,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000170464",1.33552876709905,0.0702685003274394,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000125885",4.14029978656915,0.205370006548788,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000240204",2.28734448116913,0.125081859855927,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000143552",2.59347175747039,0.139423706614276,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279464",1.81256578634355,0.100130975769483,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
