"satz","ensembl"
"S_BIOSYN","ENSG00000037897"
"S_BIOSYN","ENSG00000140259"
"S_BIOSYN","ENSG00000129152"
"S_BIOSYN","ENSG00000136937"
"S_BIOSYN","ENSG00000100138"
"S_BIOSYN","ENSG00000111641"
"S_BIOSYN","ENSG00000147140"
"S_BIOSYN","ENSG00000139910"
"S_BIOSYN","ENSG00000104967"
"S_BIOSYN","ENSG00000110713"
"S_BIOSYN","ENSG00000143748"
"S_BIOSYN","ENSG00000140694"
"S_BIOSYN","ENSG00000274829"
"S_BIOSYN","ENSG00000102309"
"S_BIOSYN","ENSG00000171566"
"S_BIOSYN","ENSG00000171824"
"S_BIOSYN","ENSG00000100941"
"S_BIOSYN","ENSG00000181222"
"S_BIOSYN","ENSG00000284832"
"S_BIOSYN","ENSG00000117751"
"S_BIOSYN","ENSG00000253729"
"S_BIOSYN","ENSG00000241945"
"S_BIOSYN","ENSG00000102317"
"S_BIOSYN","ENSG00000173933"
"S_BIOSYN","ENSG00000153250"
"S_BIOSYN","ENSG00000076067"
"S_BIOSYN","ENSG00000234414"
"S_BIOSYN","ENSG00000005007"
"S_BIOSYN","ENSG00000084093"
"S_BIOSYN","ENSG00000135828"
"S_BIOSYN","ENSG00000200320"
"S_BIOSYN","ENSG00000202363"
"S_BIOSYN","ENSG00000207389"
"S_BIOSYN","ENSG00000291399"
"S_BIOSYN","ENSG00000278099"
"S_BIOSYN","ENSG00000273757"
"S_BIOSYN","ENSG00000274585"
"S_BIOSYN","ENSG00000206941"
"S_BIOSYN","ENSG00000274266"
"S_BIOSYN","ENSG00000207280"
"S_BIOSYN","ENSG00000206680"
"S_BIOSYN","ENSG00000164610"
"S_BIOSYN","ENSG00000147604"
"S_BIOSYN","ENSG00000148303"
"S_BIOSYN","ENSG00000280858"
"S_BIOSYN","ENSG00000137154"
"S_BIOSYN","ENSG00000171863"
"S_BIOSYN","ENSG00000115268"
"S_BIOSYN","ENSG00000182774"
"S_BIOSYN","ENSG00000278229"
"S_BIOSYN","ENSG00000171858"
"S_BIOSYN","ENSG00000138326"
"S_BIOSYN","ENSG00000177954"
"S_BIOSYN","ENSG00000160633"
"S_BIOSYN","ENSG00000124788"
"S_BIOSYN","ENSG00000163635"
"S_BIOSYN","ENSG00000116560"
"S_BIOSYN","ENSG00000136450"
"S_BIOSYN","ENSG00000161547"
"S_BIOSYN","ENSG00000112081"
"S_BIOSYN","ENSG00000116350"
"S_BIOSYN","ENSG00000100650"
"S_BIOSYN","ENSG00000124193"
"S_BIOSYN","ENSG00000061936"
"S_BIOSYN","ENSG00000136527"
"S_BIOSYN","ENSG00000172062"
"S_BIOSYN","ENSG00000273772"
"S_BIOSYN","ENSG00000275349"
"S_BIOSYN","ENSG00000277773"
"S_BIOSYN","ENSG00000205571"
