symbol,chondrogen,linienkonsistent,basis,linie_8A,linie_2454e,im_modul,ri
HES2,0.0006305353730143501,False,0.0326427795229731,-0.09967383084247916,0.10093490158850786,False,
ESPN,0.0009057538152677652,False,0.032644269654764996,-0.09956703858132537,0.1013785462118609,False,
TNFRSF25,-0.03378788515688294,False,0.0345312708082718,-0.19730035210387914,0.12972458179011326,False,
PLEKHG5,-0.06907718304118966,False,0.0449079346398802,-0.15739247645563242,0.019238110373253094,False,
NOL9,-0.09834147957957552,True,0.06596071691544725,-0.16335335839089887,-0.03332960076825217,False,
TAS1R1,-0.09585991578978226,True,0.06478116924087554,-0.1530073618752025,-0.03871246970436201,False,
ZBTB48,-0.27160365027236544,True,0.07486205070867094,-0.1827970266305238,-0.3604102739142071,False,
KLHL21,0.02304329797773144,False,0.0820717155857794,-0.26543612277651923,0.3115227187319821,False,
PHF13,0.051871094334929146,False,0.08671502371708995,-0.3014424545328018,0.40518464320266007,False,
THAP3,-0.08385384202251879,False,0.0689646438814749,-0.20866463010972666,0.04095694606468908,False,
DNAJC11,-0.1710564982749409,True,0.0582641442617467,-0.15576671298844963,-0.18634628356143218,False,
CAMTA1,-0.07659055302388545,False,0.06202839338719045,0.02232236735257196,-0.17550347340034286,False,
VAMP3,0.07605591861714182,True,0.05571759606348575,0.06867894701961133,0.08343289021467232,False,
PER3,-0.2373166436087723,True,0.0548977600180786,-0.1439775323824374,-0.3306557548351072,False,
UTS2,0.004160609479847867,False,0.038227567188463096,0.025615459352731903,-0.01729424039303617,False,
TNFRSF9,0.06052462456665588,True,0.03943398943882995,0.06317909382410872,0.057870155309203045,False,
PARK7,-0.08275106228029779,False,0.0614457891209019,0.013938782698627774,-0.17944090725922335,False,
ERRFI1,-0.3217973729471813,True,0.11305724014797025,-0.3273228537892022,-0.31627189210516043,False,
SLC45A1,-0.016032936199161622,False,0.0419982816658894,-0.11223784721353573,0.08017197481521249,False,
RERE,0.10327281190987672,False,0.040350409250858005,-0.034186823510153126,0.24073244732990656,False,
ENO1,0.1281083969718524,False,0.09132715026543184,-0.07586842828650113,0.3320852222302059,False,
CA6,0.25469745872070093,True,0.047527268905301345,0.16679668236655565,0.34259823507484616,False,
SLC2A7,-0.03173614825004428,True,0.03511206829956765,-0.06210630255513587,-0.0013659939449526947,False,
SLC2A5,-0.04079037883863432,True,0.04517990003321305,-0.021979046955294346,-0.059601710721974295,False,
GPR157,-0.06406691260045869,False,0.045211068013768355,-0.1498592529200249,0.021725427719107505,False,
H6PD,-0.3897299198650521,True,0.08332141510144656,-0.3424858512157323,-0.43697398851437197,True,1.0
SPSB1,-0.02054706363758299,False,0.06617772058890435,-0.26551118561588316,0.22441705834071718,False,
SLC25A33,-0.27817115606329457,True,0.060134806745536395,-0.1374119442520485,-0.4189303678745407,False,
TMEM201,-0.3013653071966245,True,0.056567705517914305,-0.24240972404036426,-0.3603208903528848,False,
PIK3CD,-0.05908993786960283,False,0.0356659045154122,-0.1361493980027614,0.017969522263555745,False,
CLSTN1,-0.03212377358283833,False,0.044204855901849804,-0.11772243245013309,0.05347488528445644,False,
CTNNBIP1,-0.14530529153555213,False,0.049234367970304796,-0.33816107151848956,0.04755048844738529,False,
LZIC,-0.051104203772387606,False,0.0593973226448741,-0.11350669706319809,0.011298289518422882,False,
NMNAT1,-0.05097880419320498,False,0.0593978027911971,-0.11337285280088928,0.011415244414479317,False,
RBP7,-0.01202114802849634,False,0.0353728054744994,-0.07600399064912078,0.0519616945921281,False,
UBE4B,0.06525279690607984,True,0.053469257329811046,0.11656499555296557,0.013940598259194121,False,
KIF1B,-0.36411904716637794,True,0.09281578606727936,-0.25323484941693186,-0.475003244915824,False,
PGD,-0.242101098840945,True,0.068219869453415,-0.24804939272401016,-0.23615280495787982,False,
CENPS-CORT,-0.22926860421666018,True,0.0529734589247631,-0.23072037247727142,-0.22781683595604896,False,
CENPS,-0.2284197478157013,True,0.0526875679332542,-0.2331067836872369,-0.2237327119441657,False,
CORT,-0.15169186189644845,True,0.04435135694244895,-0.21639027470413771,-0.08699344908875921,False,
