symbol,osteogen,adipogen,differenz,basis,im_modul,ri,markerklasse
PUSL1,0.053274409155120994,-0.046906770578257456,0.10018117973337845,0.405013721488584,False,,
INTS11,0.20768288508647323,0.011841691856510905,0.19584119322996232,0.467786787959573,False,,
CPTP,0.2076858961075934,0.011897709883865515,0.19578818622372787,0.468055982588939,False,,
TAS1R3,0.23551513060918014,0.036461693154990635,0.19905343745418952,0.487165856982551,False,,
DVL1,0.1568898778369431,-0.004140929954869782,0.1610308077918129,0.520498614883735,False,,
MXRA8,0.18491238002921376,0.008070133538530977,0.17684224649068278,0.5238979007739,False,,
AURKAIP1,0.09141644636812823,-0.04632333901762376,0.137739785385752,0.523816553880747,False,,
CCNL2,0.14896481461150282,-0.06031895593750323,0.20928377054900604,0.482629948178516,False,,
MRPL20,0.07190314395709889,-0.13478032281554778,0.20668346677264665,0.456525719832447,False,,
ANKRD65,-0.18803686575322268,-0.2601110802582511,0.0720742145050284,0.388416700949297,False,,
TMEM88B,-0.22195392381885368,-0.2855347195174593,0.06358079569860561,0.368893979758168,False,,
VWA1,-0.27881786361596705,-0.309384694880057,0.030566831264089933,0.330407959703971,False,,
ATAD3C,-0.15779934229233353,-0.2328319792564324,0.07503263696409887,0.271973358364033,False,,
ATAD3B,-0.141684391139312,-0.17323901420594998,0.03155462306663798,0.219679665582235,False,,
ATAD3A,-0.1761559236494786,-0.23255726896675566,0.05640134531727706,0.211878272423402,False,,
TMEM240,0.013481919168727466,-0.15534305875201496,0.16882497792074241,0.235450875301463,False,,
SSU72,0.06934778356915222,-0.17915548466915396,0.24850326823830618,0.283691632171982,False,,
FNDC10,0.011515717024045082,-0.21831994914932704,0.22983566617337212,0.2789598419808,False,,
MIB2,0.03681177158473911,-0.13785129492647688,0.174663066511216,0.252283402346341,False,,
MMP23B,-0.027976160062341063,-0.13761449200873968,0.10963833194639862,0.222752326786293,False,,
CDK11B,0.12802703330668067,-0.10225260171088475,0.23027963501756543,0.162667541556914,False,,
SLC35E2B,0.11728011265751705,0.18762331731031767,-0.07034320465280063,0.0866822844590339,False,,
CDK11A,0.039797493559731466,0.006611076389272978,0.03318641717045849,0.127413979077751,False,,
NADK,0.0010113732245617547,-0.07486681799132015,0.07587819121588191,0.169440879280478,False,,
GNB1,0.1129311801348668,0.07354326586279965,0.03938791427206716,0.211207123152967,False,,
CALML6,0.101604331403619,0.04629734225435289,0.055306989149266114,0.214147554583418,False,,
TMEM52,0.10385025764470739,0.05285542031625934,0.05099483732844805,0.212715032736145,False,,
CFAP74,0.04713212661840651,0.18374700105336086,-0.13661487443495435,0.0939390554420457,False,,
GABRD,-0.01022000142995894,0.1264060546679068,-0.13662605609786574,0.0977117497653761,False,,
PRKCZ,-0.03720258281980868,0.08968881270169542,-0.12689139552150408,0.101469994247177,False,,
FAAP20,0.21005124076807236,0.06816636454808683,0.14188487621998552,0.505971535553195,False,,
SKI,0.2635832499688363,0.04382317889202363,0.21976007107681267,0.500670960690248,False,,
MORN1,-0.09486669066563576,-0.07145009469233608,-0.023416595973299675,0.230181721451103,False,,
RER1,-0.0948455176421945,-0.07153398699133544,-0.023311530650859058,0.230173652763362,False,,
PEX10,0.006270461612203858,-0.05076627185030471,0.057036733462508565,0.226113603015711,False,,
PLCH2,0.06642320169684578,-0.020760164256244756,0.08718336595309054,0.222339875963145,False,,
PANK4,-0.09708397615257443,-0.17604000244821014,0.07895602629563571,0.248140697686179,False,,
HES5,-0.12317197640909594,-0.1885165374207469,0.06534456101165095,0.251136256499269,False,,
TNFRSF14,-0.0018041675422935666,-0.11959376578767304,0.11778959824537948,0.255653332872115,False,,
PRXL2B,0.02464170380634334,0.08746455147638921,-0.06282284767004587,0.200441063183718,False,,
MMEL1,0.2106654888156901,0.2401336338923187,-0.029468145076628594,0.131421909126233,False,,
TTC34,0.05046462304652353,0.21293897637661482,-0.1624743533300913,0.0512684981768743,False,,
ACTRT2,-0.05147434019918415,0.10585134073532815,-0.1573256809345123,0.116573045802124,False,,
PRDM16,-0.04740918555720398,0.13840155662351047,-0.18581074218071444,0.127623315774249,False,,
ARHGEF16,-0.2384340319670986,-0.2578292823786114,0.019395250411512827,0.195955025391892,False,,
MEGF6,-0.009962115386530688,0.009899133041019545,-0.019861248427550233,0.179681696745022,False,,
