symbol,flach,saeule,osteogen,basis,im_modul,ri,markerklasse
ABCA1,-0.3558648304780654,0.0654107290489856,-0.1452270507145399,5.126055410382409,False,,
ABCA10,-0.2953089720962683,-0.5552140860309192,-0.4252615290635937,3.769863977353689,False,,
ABCA11P,0.014123121970379238,-0.10891709251031578,-0.04739698526996827,5.46621328084358,False,,
ABCA12,0.057334214056817046,-0.920842384657821,-0.43175408530050197,1.2275987858762134,False,,
ABCA13,-0.902670903346527,-0.7632639202830758,-0.8329674118148014,5.170337451590542,False,,
ABCA2,0.5420298868765525,0.16815362385620602,0.35509175536637927,3.64361926448176,False,,
ABCA3,0.8316620888437072,1.0634742033372953,0.9475681460905012,3.267548283312846,False,,
ABCA4,-0.5939989226837845,-0.3211422150858452,-0.45757056888481484,5.489209049344304,False,,
ABCA5,0.1763667713491106,0.4222622192587302,0.2993144953039204,4.318234499002725,False,,
ABCA6,0.48356774069103414,0.2584377549375354,0.3710027478142848,2.653975590045972,True,1.0,
ABCA7,0.2357116577449565,0.11572689324997665,0.17571927549746658,4.951889969023166,False,,
ABCA8,-0.7072415563296217,-0.17263342840508722,-0.43993749236735447,2.9808780384381675,True,1.0,
ABCA9,-0.8623504814463954,-0.7139492813068533,-0.7881498813766243,4.4379529018949055,False,,
ABCA9-AS1,-2.6774709850364014,-2.960264733114599,-2.8188678590755,3.706457493679854,False,,
ABCB1,0.33195177206512605,-0.06542130179541727,0.1332652351348544,1.0447776256169716,False,,
ABCB10,-0.1106574801605511,0.4470049173551436,0.16817371859729624,4.890855287414898,False,,
ABCB11,-0.1728109367298103,-0.2920089222115192,-0.23240992947066474,4.167580502835576,False,,
ABCB4,-0.3389994106567491,-0.9056538815041331,-0.6223266460804411,2.0725896900729253,False,,
ABCB5,0.8226453964770104,-0.33528070108295627,0.24368234769702707,0.892091227926375,False,,
ABCB6,0.14242060558648362,-0.042660057299909404,0.04988027414328711,5.82355602532471,False,,
ABCB7,-0.27549212686620494,-0.5817259102769397,-0.4286090185715723,2.717066425768246,False,,
ABCB8,-0.460973560567437,-0.2958829383758461,-0.37842824947164155,6.664303967527927,False,,
ABCB9,0.012887646338656467,-0.21003182524072628,-0.0985720894510349,6.349176613123343,False,,
ABCC1,0.18677378619435547,-0.18621883223780422,0.0002774769782756259,5.4281032123117035,False,,
ABCC10,-0.2024986694520594,-0.09352793773292412,-0.14801330359249176,5.150727624611194,False,,
ABCC11,-0.7230658404799244,-0.5744229887718917,-0.648744414625908,2.988709691677587,False,,
ABCC12,-0.19893748139984702,-0.611483014510823,-0.405210247955335,3.42724868289837,False,,
ABCC2,-0.8054765701231981,-0.9266390189004348,-0.8660577945118164,5.0690722153519365,False,,
ABCC3,-0.21667359634551442,-0.3716332440699084,-0.2941534202077114,5.6162509679230155,False,,
ABCC4,0.3534774606833153,0.5448245388672612,0.4491509997752883,4.76663027030131,False,,
ABCC5,-0.27445737919473334,0.10380302073298875,-0.0853271792308723,5.229531332698461,False,,
ABCC5-AS1,-1.8911913932185869,-0.5268615824359189,-1.209026487827253,3.140801765040566,False,,
ABCC6,0.8511239504276313,0.30104263728102176,0.5760832938543266,1.2679297025010616,False,,
ABCC6P2,0.44281722668752455,0.7694960104502602,0.6061566185688924,0.7719268472548015,False,,
ABCC8,-0.25681927192784215,-0.36379067806443643,-0.3103049749961393,4.335781399612368,False,,
ABCC9,-1.6307077251187427,-1.4047319813638366,-1.5177198532412897,3.0171220823501095,False,,
ABCD1,-1.0859751852464428,0.09677324135633603,-0.49460097194505337,2.255392708128809,False,,
ABCD2,-0.8620227288487508,-0.7565114104470543,-0.8092670696479025,4.097227113864645,False,,
ABCD3,-0.6903497712630955,0.2086897632771585,-0.2408300039929685,5.5084302579135676,False,,
ABCD4,-1.2258592440990992,-0.4814179080274896,-0.8536385760632944,3.0995185228503623,False,,
ABCF1,0.4916711088578163,-0.076000136888009,0.20783548598490365,4.865293125895826,False,,
ABCF2-H2BE1,-0.07646403349426656,0.376773688579803,0.1501548275427682,5.539723777703781,False,,
ABCF3,-0.12839665454576465,-0.00496615180081772,-0.06668140317329119,4.927997660917812,False,,
ABCG1,0.15339912369829856,0.5543192479188008,0.3538591858085497,1.956085198719882,False,,
ABCG2,0.5443343339503723,-0.2963212055779505,0.12400656418621092,2.3622767547999377,True,-1.0,
ABCG4,0.7024103218088282,1.3553050485330291,1.0288576851709288,0.5300191296700562,False,,
ABHD1,0.7367222540768172,1.2005575149156371,0.9686398844962272,1.7180573266819386,False,,
ABHD10,-0.1443628899954854,-0.020726514623037318,-0.08254470230926136,4.597024262074218,False,,
ABHD11,0.1218117239425518,-0.04231451773023487,0.039748603106158464,3.9448923344241464,False,,
ABHD11-AS1,-0.517095530347015,-0.10333517397185821,-0.31021535215943663,3.7669376838050237,False,,
ABHD12,0.032658214496334104,0.03002964333379854,0.03134392891506632,6.574614905943958,False,,
ABHD14A,0.701386498999439,0.9242682323508116,0.8128273656751253,2.8378134616800565,False,,
