symbol,delta,n_sonden,donor_konsistent
ANGPTL7,-0.0012577333333333622,2,0.5
ANK1,-0.014679899999999978,2,0.0
ANK2,0.05040945000000001,2,0.0
ANK3,0.060112399999999976,2,0.5
ANKDD1A,0.0003853999999999984,2,0.5
ANKH,0.01340683,2,0.0
ANKMY1,0.010015913333333341,2,0.0
ANKMY2,0.04086839999999999,1,0.0
ANKRA2,-0.004469361666666672,2,0.0
ANKRD1,-0.1860401,1,1.0
ANKRD10,-0.0008677066666666678,2,0.0
ANKRD11,0.0020366049999999995,2,0.0
ANKRD12,0.029832700000000007,1,0.0
ANKRD13,0.005925716666666666,2,0.5
ANKRD13B,0.014714474999999998,2,0.5
ANKRD13C,0.021660446666666677,1,0.0
ANKRD15,0.019162126666666668,2,0.0
ANKRD2,-0.0016293666666666502,1,0.0
ANKRD20A1,0.0031945000000000077,1,0.0
ANKRD21,0.021129833333333292,1,0.0
ANKRD22,0.0006547666666666766,1,0.0
ANKRD23,-0.002819499999999975,1,0.0
ANKRD25,0.04870811666666667,2,0.0
ANKRD26,-0.002791832166666666,2,0.0
ANKRD29,-0.0002231099999999986,1,0.0
ANKRD30A,0.01207998333333336,2,0.0
ANKRD32,-0.017023400000000022,1,0.0
ANKRD33,0.03712263333333331,2,0.0
ANKRD35,0.013966281666666663,2,0.0
ANKRD37,-0.0019708055,2,0.0
ANKRD38,0.04707770499999999,2,0.5
ANKRD39,0.0064273099999999994,1,1.0
ANKRD40,0.01368483,1,0.0
ANKRD41,0.011033963333333332,1,0.0
ANKRD42,-0.026413866666666667,2,0.5
ANKRD43,0.007181703333333333,2,0.0
ANKRD45,0.003369666666666668,2,0.0
ANKRD46,0.002111386666666668,2,0.0
ANKRD47,0.002627651833333333,2,0.0
ANKRD5,0.00018457000000000076,2,0.0
ANKRD7,0.010326400000000013,2,0.0
ANKRD9,0.011748903333333331,2,0.0
ANKS1A,0.013555201666666666,2,0.0
ANKS3,0.020673531666666665,2,0.0
ANLN,0.0003782916666666674,2,0.0
ANP32A,0.03224791,2,0.5
ANP32B,0.0009191571666666665,2,1.0
ANP32C,-0.012357916666666668,1,0.0
ANP32D,0.01363936666666667,2,0.0
ANP32E,0.008011718666666664,5,0.2
ANPEP,0.01942333333333333,2,0.0
ANTXR1,0.0006020666666666646,2,0.0
ANUBL1,0.004644376666666669,1,0.0
ANXA1,-0.004396699999999994,1,0.0
ANXA11,0.0026088300000000004,2,0.5
ANXA13,0.01961173833333335,2,1.0
ANXA2,0.03219652666666666,2,1.0
ANXA3,-0.01604963333333335,1,0.0
ANXA4,0.06294098333333335,2,0.0
ANXA5,0.0012616300000000014,2,0.0
ANXA6,0.010809926666666669,2,0.0
ANXA7,0.023825903333333336,2,0.5
ANXA8,0.005769049999999979,2,0.5
ANXA9,0.005378183333333323,2,0.0
AOAH,0.06672843333333338,1,1.0
AOC2,0.019964766666666633,2,0.5
AOC3,0.021690938333333333,2,0.5
AOF2,0.005196528333333334,2,0.0
AOX1,0.00020668749999999876,2,0.0
AP1B1,0.0002183660000000001,2,0.5
AP1G1,0.0073715866666666675,2,0.5
AP1G2,0.01400923333333333,2,0.0
AP1GBP1,-0.0007417383333333323,2,0.0
AP1M1,0.003882206833333332,2,0.5
AP1S1,-0.0007149266666666644,2,0.5
AP1S2,0.015803206666666667,2,0.0
AP1S3,-0.0007529683333333323,2,0.5
AP2A2,0.004976833333333339,2,0.0
AP2B1,-0.0006560561666666674,2,0.5
AP2M1,0.01398902333333335,2,0.5
AP2S1,0.027420565000000008,2,0.5
AP3B1,-0.008314426666666664,2,0.0
AP3B2,0.009749186666666673,2,0.5
AP3D1,-0.002397721666666664,2,0.0
AP3M2,-0.00027914966666666666,2,0.0
AP3S1,-0.004338926666666666,2,0.0
AP3S2,0.050804113333333345,1,1.0
AP4B1,-0.00046437333333333345,2,0.0
AP4M1,0.011340241666666665,2,0.5
AP4S1,-0.00951143166666667,2,0.0
APBA1,0.0022888458333333323,4,0.25
APBA2,0.011933866666666654,4,0.5
APBA2BP,0.004974685833333334,2,0.5
APBA3,-0.005637866666666658,1,0.0
APBB1,0.01068191,2,0.0
APBB2,0.007751250000000001,1,0.0
APBB3,0.013640594833333334,2,0.5
APC,-0.00012350975000000042,4,0.0
APC2,0.00991382166666667,2,0.5
APCDD1,0.00945639333333333,2,0.0
APCS,-0.012449016666666663,2,0.0
APEG1,0.0017830666666666661,2,0.0
APEH,-0.007361843333333333,2,0.5
APEX1,-0.00467381,2,0.0
APEX2,0.104531475,2,0.0
APH1B,-0.0026227421666666696,2,0.5
API5,0.005061786666666668,2,0.0
APIN,0.014029300000000022,1,0.0
APIP,-0.007184634166666665,2,0.0
APITD1,0.025034833333333322,1,0.0
APLP1,0.03020410333333333,2,0.5
APLP2,0.009751038333333333,2,0.5
APOA1,0.0226074,2,0.5
APOA1BP,0.0030085099999999994,2,0.0
APOA2,-0.007448583333333369,2,0.5
APOA4,0.020412716666666653,2,0.0
APOA5,-0.001063150000000018,2,0.5
APOB,-0.0076736366666666665,2,0.0
APOBEC1,0.02324976666666667,2,0.0
APOBEC2,0.006929216666666687,2,1.0
APOBEC3A,0.005151900000000005,1,0.0
APOBEC3B,0.027775590000000006,1,1.0
APOBEC3C,0.014364206666666664,1,1.0
APOBEC3G,0.006909221666666664,2,0.5
APOBEC4,0.04436666666666666,2,0.5
APOC1,0.08119786666666667,2,1.0
APOC2,-0.03823066666666667,2,0.0
APOC3,0.03833458333333334,2,1.0
APOC4,0.02901040000000003,1,0.0
APOD,0.03019877333333334,2,0.5
APOE,0.01297356666666667,2,0.5
APOH,0.003374216666666669,2,0.0
APOL1,0.03728610500000001,2,0.5
APOL3,-0.00470433333333331,1,0.0
APOL5,-0.03889603333333332,1,0.0
APOL6,0.0007320649999999994,2,0.0
APOLD1,0.06497054999999997,2,0.5
APOM,0.05142208333333331,2,0.5
APP,0.07274200166666667,2,0.5
APPBP1,-0.00772329,2,0.0
APPBP2,0.0012661533333333344,2,0.5
APPL,-0.010871623333333334,2,0.5
APR-2,-0.01236125000000001,2,0.0
APRIN,0.015030879999999998,1,1.0
APRT,0.03975515333333333,2,0.0
APS,0.019674033333333313,2,0.5
APTX,0.0014380350000000016,2,0.0
APXL,0.039263650000000004,1,0.0
APXL2,-3.360000000000385e-05,2,0.0
AQP1,-0.025052816666666665,2,0.0
AQP10,0.031925564999999996,2,0.0
AQP11,0.003092381666666668,2,0.0
AQP12A,0.012530183333333316,2,0.0
AQP2,0.0024984499999999854,2,0.0
AQP3,-0.003985331666666671,2,0.5
AQP4,0.0015620999999999734,2,0.0
AQP5,0.03826667500000001,2,0.5
AQP6,0.009768944999999994,2,0.0
AQP7,0.038276433333333346,2,0.5
AQP8,-0.0023340499999999955,2,0.0
AQP9,-0.1751397,2,0.5
AR,0.07999483533333333,5,0.0
ARAF,0.07368883166666668,2,0.5
ARC,0.007150578333333327,2,0.0
ARCN1,0.015737858333333334,2,0.0
ARD1A,0.042957361666666624,2,0.0
ARF1,0.007788510000000001,1,0.0
