symbol,delta,n_sonden,donor_konsistent
ANG,-0.005545858333333334,2,1.0
ANGEL1,-0.001366983333333333,1,0.0
ANGEL2,-0.00423046833333333,2,0.5
ANGPT1,-0.05399345666666667,2,0.0
ANGPT2,-0.03491177333333334,1,1.0
ANGPT4,-0.01682673333333335,2,0.5
ANGPTL1,-0.011550066666666664,1,0.0
ANGPTL2,-0.010091156666666672,2,1.0
ANGPTL3,-0.13287965000000002,2,1.0
ANGPTL4,0.00735726633333333,2,0.5
ANGPTL5,-0.013398539999999994,1,1.0
ANGPTL6,0.019559816666666674,2,0.0
ANGPTL7,-0.03970834999999998,2,0.5
ANK1,-0.03293253333333331,2,0.0
ANK2,-0.060007099999999994,2,0.5
ANK3,-0.006088283333333351,2,0.0
ANKDD1A,-0.024841166666666657,2,0.5
ANKH,-0.046743291666666666,2,0.5
ANKMY1,-0.05013208333333333,2,1.0
ANKMY2,-0.03622473333333334,1,0.0
ANKRA2,-0.01940624666666667,2,0.5
ANKRD1,-0.15886250000000002,1,1.0
ANKRD10,0.018639620166666666,2,0.5
ANKRD11,0.022743716666666667,2,1.0
ANKRD12,-0.08409003333333336,1,1.0
ANKRD13,0.0038200916666666666,2,0.0
ANKRD13B,-0.007724998333333337,2,0.5
ANKRD13C,0.027467306666666674,1,0.0
ANKRD15,-0.018069763333333332,2,0.5
ANKRD2,-0.023884233333333338,1,1.0
ANKRD20A1,-0.06531913333333333,1,1.0
ANKRD21,-0.07083726666666668,1,1.0
ANKRD22,-0.0720556666666667,1,1.0
ANKRD23,-0.04190993333333334,1,1.0
ANKRD25,-0.0064715,2,0.0
ANKRD26,-0.003107640333333333,2,0.5
ANKRD29,-0.02051122333333333,1,1.0
ANKRD30A,-0.03125539999999999,2,0.5
ANKRD32,-0.18613186666666667,1,1.0
ANKRD33,-0.06044076666666667,2,1.0
ANKRD35,-0.03513529816666667,2,1.0
ANKRD37,0.0016859643333333324,2,0.0
ANKRD38,-0.03223125833333334,2,1.0
ANKRD39,0.006249406666666666,1,1.0
ANKRD40,-0.0016756466666666692,1,0.0
ANKRD41,-0.03495967,1,1.0
ANKRD42,-0.07467102666666667,2,1.0
ANKRD43,4.49099999999987e-05,2,0.0
ANKRD45,-0.006159326666666665,2,0.0
ANKRD46,0.003851808333333334,2,0.5
ANKRD47,-0.002330923166666668,2,1.0
ANKRD5,-0.010030363333333334,2,1.0
ANKRD7,-0.06102701666666667,2,0.5
ANKRD9,-0.025615263333333336,2,0.5
ANKS1A,0.020649523333333333,2,0.5
ANKS3,0.021953658333333334,2,0.0
ANLN,-0.021186965000000002,2,0.5
ANP32A,-0.014615685000000005,2,0.5
ANP32B,0.004771666666666667,2,0.5
