gse,n_proben,naiver_arm,diff_arm,diagnose,eingriff,urteil,code,begruendung,titel,n_proben_gds,achse
GSE206213,24,True,True,True,False,AUS,A2,"Werner-Syndrom als WRN-Knockdown in hESC modelliert -- Engineering-Eingriff, keine Diagnose; Linie statt Patient",WRN promotes bone development and growth by unwinding SHOX-G-quadruplexes via its helicase activity in Werner Syndrome [RNA-seq],24.0,SHOX|FREITEXT_KLEINWUCHS
GSE248009,24,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Eicosatetraynoic Acid Regulates Pro-Fibrotic Pathways in an Induced Pluripotent Stem Cell Derived Macrophage:Human Intestinal Organoid Model of Crohn’s Disease,24.0,OI
GSE35659,24,True,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,A transcriptional map of the impact of endurance exercise training on skeletal muscle phenotype (resting muscle after endurance training),24.0,CCD_CMPD
GSE291355,24,False,True,True,False,AUS,A1,kein naiver Arm,Implication of bone marrow adipose tissue in bone homeostasis during osteoarthritis,24.0,FREITEXT_WACHSTUMSFUGE
GSE66723,24,True,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Highly efficient in vivo delivery of functional RNAs using new versatile MS2-chimeric retrovirus-like particles,24.0,CCD_CMPD
GSE228522,24,False,False,True,False,AUS,A1,kein naiver Arm,Transcriptomic differences underlying the Activin-A induced large osteoclast formation in both healthy control and Fibrodysplasia Ossificans Progressiva osteoclasts,24.0,FOP
GSE27864,23,False,False,True,False,AUS,A1,kein naiver Arm,Homeostatic tissue responses in skin biopsies from NOMID patients with constitutive overproduction of IL-1b.,23.0,FREITEXT_WACHSTUMSFUGE
GSE241507,22,True,True,True,False,AUS,A7+M2,"humaner OPLL-Arm ohne Differenzierungsachse; die Tag-0/14-Achse liegt in MC3T3-E1 -- Maus, immortalisiert",Type I IFN signaling pathway promotes osteoblast differentiation through targeting Sox9.,22.0,CCD_CMPD
GSE77758,22,False,False,True,False,AUS,A1,kein naiver Arm,Microarray and miRNA expression data from five Ehlers-Danlos Syndrome Hypermobility type/Joint Hypermobility Syndrome (EDS-HT/JHS) patients' skin fibroblasts,22.0,MPS
GSE134386,21,False,False,True,False,AUS,A1,kein naiver Arm,Molecular Fingerprints of Borderline Changes of Kidney Allografts is Influenced by Donor Category,21.0,OI
GSE159778,21,False,True,False,False,AUS,A2,keine Diagnose als Laesionsachse,A comprehensive library of human transcription factors for cell fate engineering (Bulk RNA-Seq),21.0,CCD_CMPD
GSE309060,21,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Impact of hyaluronic acid coating of collagen membranes: RNAseq of gingival fibroblasts,21.0,OI
GSE210826,21,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,HU308 Mitigates Osteoarthritis by Stimulating Sox9-Related Networks of Carbohydrate Metabolism,21.0,CCD_CMPD
GSE290015,21,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Amniotic Fluid Reduces Liver Fibrosis By Attenuating Hepatic Stellate Cell Activation,21.0,OI
GSE64264,20,False,True,False,False,AUS,A2,keine Diagnose als Laesionsachse,Functional Retinal Pigment Epithelium-like Cells from Human Fibroblasts,20.0,CCD_CMPD
GSE157587,20,False,False,True,False,AUS,A1,kein naiver Arm,Reiterative infusions of MSCs improve pediatric Osteogenesis Imperfecta eliciting a pro-osteogenic paracrine response: TERCELOI clinical trial,20.0,OI
GSE246390,19,False,False,True,False,AUS,A1,kein naiver Arm,Molecular Response to Biomechanical Loading in Human Growth Plate Cartilage,19.0,FREITEXT_WACHSTUMSFUGE
GSE266974,18,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Eicosatetraynoic Acid Regulates Pro-Fibrotic Pathways in an Induced Pluripotent Stem Cell Derived Macrophage:Human Intestinal Organoid Model of Crohn’s Disease II,18.0,OI
GSE251698,18,True,False,True,False,AUS,A1,kein differenzierter Arm,MUTATIONS IN FIBRONECTIN IMPAIR CHONDROGENESIS IN CORNER FRACTURE TYPE SPONDYLOMETAPHYSEAL DYSPLASIA,18.0,FREITEXT_DYSPLASIE|FREITEXT_KLEINWUCHS
GSE256243,18,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Cyclic compressive loading induces a mature meniscal cell phenotype in mesenchymal stem cells with an atelocollagen-based scaffold,18.0,CCD_CMPD
GSE162892,18,False,True,False,True,AUS,A2,keine Diagnose als Laesionsachse,RNA sequencing on iPSC-derived iSOX9-astrocytes,18.0,CCD_CMPD
GSE324067,18,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,mTOR signalling mediates the spinal osteoblast pathotype at the curve apex in adolescent idiopathic scoliosis,18.0,OI|CCD_CMPD
GSE689,18,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,GSEp53_v_Con,18.0,MPS
GSE62721,18,False,True,True,False,AUS,A1,kein naiver Arm,Molecular Mechanisms Regulating the Defects in Fragile X Syndrome Neurons Derived from Human Pluripotent Stem Cells,18.0,MPS
GSE182833,17,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,"Transcriptomic analysis of Nintedanib, Alpelisib and Nintedanib;Alpelisib treated  bladder tumors",17.0,FGFR3
GSE44167,17,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Geometric control of the coronary artery endothelial cell transcriptome following serum starvation,17.0,FREITEXT_WACHSTUMSFUGE
GSE24261,16,False,True,False,False,AUS,A2,keine Diagnose als Laesionsachse,Runx2 Transcriptome of Prostate Cancer Cells: Insights into Invasiveness and Bone Metastasis,16.0,CCD_CMPD
GSE163812,16,False,True,True,False,AUS,A1,kein naiver Arm,XBP1s-Mediated Endoplasmic Reticulum Proteostasis Network Enhancement Can Selectively Improve Folding and Secretion of an Osteogenesis Imperfecta-Causing Collagen-I Variant,16.0,OI
GSE201100,16,False,True,False,False,AUS,A2,keine Diagnose als Laesionsachse,GIP acts on multiple signaling pathways to uncouple bone resorption and formation,16.0,CCD_CMPD
GSE286316,16,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Unveiling a Novel in-vitro Model of Skin Inflamm-Aging: Validation of Terminalia chebula Extract and Supermolecular Bakuchiol for Reversal of Inflamm-Aging,16.0,OI
GSE687,16,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Prim_Fibs,16.0,MPS
GSE302248,16,False,False,True,True,AUS,A1,kein naiver Arm,BCAT1 as a critical regulator of human chondrosarcoma progression and differentiation through enzymatic and non-enzymatic mechanisms,16.0,CCD_CMPD
GSE314190,16,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,RAB3GAP2 is a Regulator of Skeletal Muscle Endothelial Cell Proliferation and Associated with Capillary Density,16.0,OI
GSE218575,16,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,"Transcriptomic analysis of Nintedanib, Alpelisib and Nintedanib;Alpelisib treated bladder tumors",16.0,FGFR3
GSE189146,16,False,False,True,False,AUS,A1,kein naiver Arm,AAV-delivered suppressor tRNA overcomes a nonsense mutation in mice (mRNA-seq),16.0,MPS
GSE121384,15,False,True,True,False,AUS,A1,kein naiver Arm,Verification and rectification of cell type-specific splicing of a Seckel syndrome-associated ATR mutation using iPS cell model,15.0,FREITEXT_KLEINWUCHS
GSE188698,15,True,True,True,False,AUS,M4,"Retinaorganoide, Mueller-Glia -- keine skelettale Entitaet",Spatial and temporal development of Müller glial cells in hiPSC-derived retinal organoids facilitating the cell enrichment and transcriptome analysis,15.0,CCD_CMPD
GSE242523,15,True,True,False,False,AUS,A2,keine Diagnose als Laesionsachse,Gene expression profiling of human induced pluripotent stem cell (hiPSC)-derived chondrospheroids,15.0,CCD_CMPD
GSE208574,15,True,False,True,False,AUS,A1,kein differenzierter Arm,Modeling 16p13.11 deletions in patient stem cell derived neurons,15.0,MPS
