ensembl,dWT_n,dWT_med,dWT_v,dWT_vz,dWT_kons,iv_n,iv_med,iv_v,iv_vz,iv_kons,basis_med,pool_anteil,symbol,im_modul,ri
ENSG00000184939,16,0.7264134011018124,11,1,0.375,16,-0.22080414453975955,9,-1,-0.125,-0.49849771419897404,0.5625,ZFP90,False,
ENSG00000184949,16,-0.23958555489581668,9,-1,-0.125,16,-0.1856140833591175,11,-1,-0.375,-0.0907118780987814,0.1875,FAM227A,False,
ENSG00000184967,17,-0.917131384221899,14,-1,-0.6470588235294117,17,0.305081188084751,11,1,0.2941176470588236,0.639258405978769,0.058823529411764705,NOC4L,False,
ENSG00000184979,16,0.8353111630027554,12,1,0.5,16,-0.277993599642008,11,-1,-0.375,-0.2507171283859835,0.5625,USP18,False,
ENSG00000184983,16,-0.1680637754547495,10,-1,-0.25,16,0.024072050754407503,8,1,0.0,0.217900683279035,0.1875,NDUFA6,False,
ENSG00000184985,15,0.645417869216512,10,1,0.33333333333333326,15,-0.0069381320151362,8,-1,-0.06666666666666665,-0.44307031181262,0.5333333333333333,SORCS2,False,
ENSG00000184986,15,0.0149655627860981,8,1,0.06666666666666665,15,0.332902191859075,10,1,0.33333333333333326,0.0974456052959033,0.4,TMEM121,False,
ENSG00000184988,18,-0.49434275894637997,11,-1,-0.22222222222222232,18,0.03512491140478385,10,1,0.11111111111111116,0.392989273251645,0.2777777777777778,TMEM106A,False,
ENSG00000184990,16,-0.7070724501421446,11,-1,-0.375,16,0.03535291565232851,8,1,0.0,0.1875532102643945,0.1875,SIVA1,False,
ENSG00000184992,16,-0.25476654342855104,8,1,0.0,16,-0.2580109675759845,9,-1,-0.125,0.44315161519039653,0.1875,BRI3BP,False,
ENSG00000184995,16,-0.48238431303443396,10,-1,-0.25,16,0.0829171335305676,9,1,0.125,0.40618465095379697,0.25,IFNE,False,
ENSG00000185000,17,-0.199218880422434,10,-1,-0.17647058823529416,17,0.170796063575013,10,1,0.17647058823529416,0.454792168862209,0.23529411764705882,DGAT1,False,
ENSG00000185009,16,0.2749961075463455,10,1,0.25,16,0.546686068476382,9,1,0.125,-0.138959822631435,0.4375,AP3M1,False,
ENSG00000185010,16,0.7738299526165464,11,1,0.375,16,0.3710567858343185,11,1,0.375,-0.6805581088566566,0.5625,F8,False,
ENSG00000185015,17,0.101765836859375,10,1,0.17647058823529416,17,-0.109979299139241,9,-1,-0.05882352941176472,-0.157173164724352,0.29411764705882354,CA13,False,
ENSG00000185019,16,0.149656875641516,9,1,0.125,16,-0.052188659152911696,9,-1,-0.125,-0.041049375501796506,0.3125,UBOX5,False,
ENSG00000185022,16,0.215448529275546,9,1,0.125,16,-0.30381080475815103,10,-1,-0.25,0.049571755822106905,0.4375,MAFF,False,
ENSG00000185024,16,-0.7219858899554805,9,-1,-0.125,16,0.24632418355583152,10,1,0.25,0.613632202658597,0.25,BRF1,False,
ENSG00000185033,16,-0.3944990229387745,13,-1,-0.625,16,0.037684403560924354,8,1,0.0,0.3893598004258345,0.125,SEMA4B,False,
ENSG00000185043,16,-0.5383337332585205,12,-1,-0.5,16,0.491071044472148,11,1,0.375,0.2712123172936681,0.125,CIB1,False,
ENSG00000185049,16,-0.5542312148973361,13,-1,-0.625,16,0.5722296310433219,11,1,0.375,0.33535169212329896,0.125,NELFA,False,
ENSG00000185070,16,-0.5189775798820115,10,-1,-0.25,16,0.20202953349184,10,1,0.25,0.139692618946848,0.3125,FLRT2,False,
ENSG00000185085,18,-0.493073488814302,13,-1,-0.4444444444444444,18,-0.03126972055062875,9,1,0.0,0.32155610014985303,0.2222222222222222,INTS5,False,
ENSG00000185088,16,-0.1847440484198666,9,-1,-0.125,16,0.21187662975454752,10,1,0.25,-0.2616735298553995,0.3125,RPS27L,False,
ENSG00000185090,16,-0.308391766382696,9,-1,-0.125,16,0.10031401457554136,8,1,0.0,0.159507527627482,0.1875,MANEAL,False,
ENSG00000185104,16,-0.953186494776638,13,-1,-0.625,16,0.310503952269575,10,1,0.25,0.4369768130781415,0.0625,FAF1,False,
